topic_id,phi_sum,theta_sum,h,top_terms_rel,top_terms,label
0,18629.028602560094,29.022904350066494,8.76,moon cant terrestrial stars hardly travellers earth science,moon earth her cried captain point sun miles,0: moon cant terrestrial stars hardly travellers earth science
1,14611.196886308544,32.68340225903459,9.02,guide extraordinary discovery boy myself professor compelled huge,cried professor earth myself began appeared water guide,1: guide extraordinary discovery boy myself professor compelled huge
2,7743.651867842019,15.237137179282726,8.26,apparatus pressure weight gas glass temperature heat supply,air water captain heat thousand weight means let,2: apparatus pressure weight gas glass temperature heat supply
3,10639.519973740182,22.38517713017947,8.49,river banks bank tree forests town principal branches,river bank trees whose town country tree large,3: river banks bank tree forests town principal branches
4,1896.457955284195,2.323667989398798,7.58,cyrus smoke wall mount forth death vessel harding,harding cyrus island captain vessel lake death answered,4: cyrus smoke wall mount forth death vessel harding
5,1104.4196056245098,3.3491496288312264,7.84,steps english splendid shoulders french directed american company,mr english master seemed themselves french steps large,5: steps english splendid shoulders french directed american company
6,4760.621481037257,6.4318401002552115,8.06,wood dry sailor herbert shore trees forest rocks,herbert pencroft sailor shore trees wood fire coast,6: wood dry sailor herbert shore trees forest rocks
7,5271.783353673256,10.66228268776592,8.43,mine coal old opening worked working lighted dark,old coal mine engineer mr light fire air,7: mine coal old opening worked working lighted dark
8,4747.756820650463,10.627695045008895,8.1,professor business proper gentlemen satisfaction interest month common,professor old earth captain want continued am cried,8: professor business proper gentlemen satisfaction interest month common
9,8911.031592633706,23.278180769873643,8.45,mr passengers company servant pounds delay route nine,mr hours sir twenty thousand master days going,9: mr passengers company servant pounds delay route nine
10,16885.848924226353,34.31993258180053,8.88,fish ocean seas waters gigantic red waves liquid,sea water ocean waters above surface air sun,10: fish ocean seas waters gigantic red waves liquid
11,3164.1189137562556,5.244064408928215,7.46,mountain mountains region plain northern character summit immense,mountain mountains miles lake surface north vast immense,11: mountain mountains region plain northern character summit immense
12,16322.20569555007,29.47113713658753,8.61,noise captains closed watched crew beat blood captain,captain land sir water light heard sea saw,12: noise captains closed watched crew beat blood captain
13,10184.840673686915,21.319688205701873,8.8,count hitherto progress although failed fail population various,captain count sun island sea seemed miles shore,13: count hitherto progress although failed fail population various
14,3459.927817768687,10.694420660560333,7.73,gun club shot iron stones guns enterprise operation,gun club iron shot work necessary stones question,14: gun club shot iron stones guns enterprise operation
15,6022.335956390996,11.272312223686008,7.42,she her mother happy home save young forth,her she eyes young mother became night look,15: she her mother happy home save young forth
16,11284.801174500812,24.166737765981008,8.54,doctor balloon car toward desert ill latter country,doctor balloon car country wind toward let lake,16: doctor balloon car toward desert ill latter country
17,25415.51106265412,32.59075554510332,8.69,spilett gideon neb harding reporter pencroft mercy cyrus,pencroft harding cyrus herbert engineer spilett island neb,17: spilett gideon neb harding reporter pencroft mercy cyrus
18,5902.101769726561,10.916474623601548,7.32,cape bay vessel ship sail coast pacific port,island vessel coast captain sea cape miles land,18: cape bay vessel ship sail coast pacific port
19,20957.83987234142,51.00303970835272,8.95,judge read secret table arrival chief yourself people,life judge men years answered am words name,19: judge read secret table arrival chief yourself people
